Fecha,Predicciones
1/1/2012,2.37
1/2/2012,555.90
1/3/2012,838.79
1/4/2012,945.89
1/5/2012,964.47
1/6/2012,984.35
1/7/2012,283.94
1/8/2012,2.37
1/9/2012,555.90
1/10/2012,838.79
1/11/2012,945.89
1/12/2012,964.47
1/13/2012,984.35
1/14/2012,283.94
1/15/2012,2.37
1/16/2012,555.90
1/17/2012,838.79
1/18/2012,945.89
1/19/2012,964.47
1/20/2012,984.35
1/21/2012,283.94
1/22/2012,2.37
1/23/2012,555.90
1/24/2012,838.79
1/25/2012,945.89
1/26/2012,964.47
1/27/2012,984.35
1/28/2012,283.94
1/29/2012,2.37
1/30/2012,555.90
1/31/2012,838.79
2/1/2012,1237.15
2/2/2012,1261.45
2/3/2012,1287.45
2/4/2012,371.37
2/5/2012,3.11
2/6/2012,727.07
2/7/2012,1097.06
2/8/2012,1237.15
2/9/2012,1261.45
2/10/2012,1287.45
2/11/2012,371.37
2/12/2012,3.11
2/13/2012,727.07
2/14/2012,1097.06
2/15/2012,1237.15
2/16/2012,1261.45
2/17/2012,1287.45
2/18/2012,371.37
2/19/2012,3.11
2/20/2012,727.07
2/21/2012,1097.06
2/22/2012,1237.15
2/23/2012,1261.45
2/24/2012,1287.45
2/25/2012,371.37
2/26/2012,3.11
2/27/2012,727.07
2/28/2012,1097.06
2/29/2012,1237.15
3/1/2012,1214.71
3/2/2012,1239.74
3/3/2012,357.61
3/4/2012,2.99
3/5/2012,700.13
3/6/2012,1056.41
3/7/2012,1191.30
3/8/2012,1214.71
3/9/2012,1239.74
3/10/2012,357.61
3/11/2012,2.99
3/12/2012,700.13
3/13/2012,1056.41
3/14/2012,1191.30
3/15/2012,1214.71
3/16/2012,1239.74
3/17/2012,357.61
3/18/2012,2.99
3/19/2012,700.13
3/20/2012,1056.41
3/21/2012,1191.30
3/22/2012,1214.71
3/23/2012,1239.74
3/24/2012,357.61
3/25/2012,2.99
3/26/2012,700.13
3/27/2012,1056.41
3/28/2012,1191.30
3/29/2012,1214.71
3/30/2012,1239.74
3/31/2012,357.61
4/1/2012,2.96
4/2/2012,692.22
4/3/2012,1044.47
4/4/2012,1177.84
4/5/2012,1200.98
4/6/2012,1225.74
4/7/2012,353.57
4/8/2012,2.96
4/9/2012,692.22
4/10/2012,1044.47
4/11/2012,1177.84
4/12/2012,1200.98
4/13/2012,1225.74
4/14/2012,353.57
4/15/2012,2.96
4/16/2012,692.22
4/17/2012,1044.47
4/18/2012,1177.84
4/19/2012,1200.98
4/20/2012,1225.74
4/21/2012,353.57
4/22/2012,2.96
4/23/2012,692.22
4/24/2012,1044.47
4/25/2012,1177.84
4/26/2012,1200.98
4/27/2012,1225.74
4/28/2012,353.57
4/29/2012,2.96
4/30/2012,692.22
5/1/2012,1061.90
5/2/2012,1197.50
5/3/2012,1221.02
5/4/2012,1246.19
5/5/2012,359.46
5/6/2012,3.01
5/7/2012,703.77
5/8/2012,1061.90
5/9/2012,1197.50
5/10/2012,1221.02
5/11/2012,1246.19
5/12/2012,359.46
5/13/2012,3.01
5/14/2012,703.77
5/15/2012,1061.90
5/16/2012,1197.50
5/17/2012,1221.02
5/18/2012,1246.19
5/19/2012,359.46
5/20/2012,3.01
5/21/2012,703.77
5/22/2012,1061.90
5/23/2012,1197.50
5/24/2012,1221.02
5/25/2012,1246.19
5/26/2012,359.46
5/27/2012,3.01
5/28/2012,703.77
5/29/2012,1061.90
5/30/2012,1197.50
5/31/2012,1221.02
6/1/2012,1223.62
6/2/2012,352.96
6/3/2012,2.95
6/4/2012,691.02
6/5/2012,1042.67
6/6/2012,1175.81
6/7/2012,1198.91
6/8/2012,1223.62
6/9/2012,352.96
6/10/2012,2.95
6/11/2012,691.02
6/12/2012,1042.67
6/13/2012,1175.81
6/14/2012,1198.91
6/15/2012,1223.62
6/16/2012,352.96
6/17/2012,2.95
6/18/2012,691.02
6/19/2012,1042.67
6/20/2012,1175.81
6/21/2012,1198.91
6/22/2012,1223.62
6/23/2012,352.96
6/24/2012,2.95
6/25/2012,691.02
6/26/2012,1042.67
6/27/2012,1175.81
6/28/2012,1198.91
6/29/2012,1223.62
6/30/2012,352.96
7/1/2012,3.01
7/2/2012,705.50
7/3/2012,1064.51
7/4/2012,1200.44
7/5/2012,1224.02
7/6/2012,1249.25
7/7/2012,360.35
7/8/2012,3.01
7/9/2012,705.50
7/10/2012,1064.51
7/11/2012,1200.44
7/12/2012,1224.02
7/13/2012,1249.25
7/14/2012,360.35
7/15/2012,3.01
7/16/2012,705.50
7/17/2012,1064.51
7/18/2012,1200.44
7/19/2012,1224.02
7/20/2012,1249.25
7/21/2012,360.35
7/22/2012,3.01
7/23/2012,705.50
7/24/2012,1064.51
7/25/2012,1200.44
7/26/2012,1224.02
7/27/2012,1249.25
7/28/2012,360.35
7/29/2012,3.01
7/30/2012,705.50
7/31/2012,1064.51
8/1/2012,1175.13
8/2/2012,1198.21
8/3/2012,1222.91
8/4/2012,352.75
8/5/2012,2.95
8/6/2012,690.62
8/7/2012,1042.06
