Fecha,Predicciones
1/1/2018,495
1/2/2018,747
1/3/2018,843
1/4/2018,859
1/5/2018,877
1/6/2018,253
1/7/2018,2
1/8/2018,495
1/9/2018,747
1/10/2018,843
1/11/2018,859
1/12/2018,877
1/13/2018,253
1/14/2018,2
1/15/2018,495
1/16/2018,747
1/17/2018,843
1/18/2018,859
1/19/2018,877
1/20/2018,253
1/21/2018,2
1/22/2018,495
1/23/2018,747
1/24/2018,843
1/25/2018,859
1/26/2018,877
1/27/2018,253
1/28/2018,2
1/29/2018,495
1/30/2018,747
1/31/2018,843
2/1/2018,937
2/2/2018,956
2/3/2018,276
2/4/2018,2
2/5/2018,540
2/6/2018,815
2/7/2018,919
2/8/2018,937
2/9/2018,956
2/10/2018,276
2/11/2018,2
2/12/2018,540
2/13/2018,815
2/14/2018,919
2/15/2018,937
2/16/2018,956
2/17/2018,276
2/18/2018,2
2/19/2018,540
2/20/2018,815
2/21/2018,919
2/22/2018,937
2/23/2018,956
2/24/2018,276
2/25/2018,2
2/26/2018,540
2/27/2018,815
2/28/2018,919
3/1/2018,925
3/2/2018,913
3/3/2018,263
3/4/2018,2
3/5/2018,515
3/6/2018,778
3/7/2018,877
3/8/2018,894
3/9/2018,913
3/10/2018,263
3/11/2018,2
3/12/2018,515
3/13/2018,778
3/14/2018,877
3/15/2018,894
3/16/2018,913
3/17/2018,263
3/18/2018,2
3/19/2018,515
3/20/2018,778
3/21/2018,877
3/22/2018,894
3/23/2018,913
3/24/2018,263
3/25/2018,2
3/26/2018,515
3/27/2018,778
3/28/2018,877
3/29/2018,894
3/30/2018,913
3/31/2018,263
4/1/2018,2
4/2/2018,548
4/3/2018,827
4/4/2018,933
4/5/2018,951
4/6/2018,971
4/7/2018,280
4/8/2018,2
4/9/2018,548
4/10/2018,827
4/11/2018,933
4/12/2018,951
4/13/2018,971
4/14/2018,280
4/15/2018,2
4/16/2018,548
4/17/2018,827
4/18/2018,933
4/19/2018,951
4/20/2018,971
4/21/2018,280
4/22/2018,2
4/23/2018,548
4/24/2018,827
4/25/2018,933
4/26/2018,951
4/27/2018,971
4/28/2018,280
4/29/2018,2
4/30/2018,548
5/1/2018,824
5/2/2018,915
5/3/2018,933
5/4/2018,952
5/5/2018,275
5/6/2018,2
5/7/2018,538
5/8/2018,811
5/9/2018,915
5/10/2018,933
5/11/2018,952
5/12/2018,275
5/13/2018,2
5/14/2018,538
5/15/2018,811
5/16/2018,915
5/17/2018,933
5/18/2018,952
5/19/2018,275
5/20/2018,2
5/21/2018,538
5/22/2018,811
5/23/2018,915
5/24/2018,933
5/25/2018,952
5/26/2018,275
5/27/2018,2
5/28/2018,538
5/29/2018,811
5/30/2018,915
5/31/2018,933
6/1/2018,918
6/2/2018,273
6/3/2018,2
6/4/2018,535
6/5/2018,807
6/6/2018,911
6/7/2018,928
6/8/2018,948
6/9/2018,273
6/10/2018,2
6/11/2018,535
6/12/2018,807
6/13/2018,911
6/14/2018,928
6/15/2018,948
6/16/2018,273
6/17/2018,2
6/18/2018,535
6/19/2018,807
6/20/2018,911
6/21/2018,928
6/22/2018,948
6/23/2018,273
6/24/2018,2
6/25/2018,535
6/26/2018,807
6/27/2018,911
6/28/2018,928
6/29/2018,948
6/30/2018,273
